"","year","month","tmp_ave","tmp_min","tmp_max","srad","prcp"
"1",2019,1,26.1438911290323,20.6932258064516,34.1161290322581,9.65302351450554,120.58064516129
"2",2019,2,23.1269382440476,17.0935714285714,30.3717857142857,9.15414864879649,35.5714285714286
"3",2019,3,21.8752822580645,16.5264516129032,28.6561290322581,6.83693904919884,135.096774193548
"4",2019,4,18.2520556712963,11.9645666666667,25.8013333333333,6.11936144201313,8.2
"5",2019,5,14.1763533826165,7.05416129032258,22.4151612903226,4.75904343968378,12.5806451612903
"6",2019,6,11.6321325231481,5.4831,18.4676666666667,3.5161344595186,41.4
"7",2019,7,11.2233322132616,3.66177419354839,19.3016129032258,4.39900810333875,17.0322580645161
"8",2019,8,11.8359126344086,3.6821935483871,20.1561290322581,5.65425878802852,8.12903225806452
"9",2019,9,15.3836159722222,7.74593333333333,23.6746666666667,7.40318025164114,79
"10",2019,10,18.5408338933692,10.5224193548387,27.318064516129,9.58525769252488,38.9032258064516
"11",2019,11,21.3276471064815,12.5988,30.303,10.3934706652079,21.8
"12",2019,12,23.2696281362007,15.7083870967742,32.4303225806452,9.15565429589892,0
"13",2020,1,24.9973095878136,19.6593548387097,32.0745161290323,8.26010284887414,43.1612903225806
"14",2020,2,22.981879789272,18.7344827586207,28.5506896551724,7.67294545235041,333.51724137931
"15",2020,3,19.9649081541219,15.3170967741935,25.7061290322581,6.18899038822616,113.032258064516
"16",2020,4,17.7375877314815,11.4744333333333,24.4166666666667,5.44330046389497,35.6
"17",2020,5,13.310989359319,7.1208064516129,20.1658064516129,4.33199090703748,26.5161290322581
"18",2020,6,11.3312791666667,5.28916666666667,18.495,3.91639295185996,15.4
"19",2020,7,11.3365796370968,5.08587096774194,18.0103225806452,4.01757611138562,104.709677419355
"20",2020,8,12.0433024193548,5.47809677419355,19.0877419354839,5.72599606621021,48.3870967741935
"21",2020,9,15.9252195601852,8.96506666666667,23.305,7.18959603063457,28.2
"22",2020,10,18.7662948028674,12.5731290322581,26.0574193548387,7.69750696830662,105.096774193548
"23",2020,11,20.9870509259259,13.816,28.8496666666667,9.86158823194748,41
"24",2020,12,21.2005051523298,16.2161290322581,27.4290322580645,8.18362302957577,127.741935483871
"25",2021,1,22.6720978942652,16.5232258064516,29.8096774193548,9.19031773628856,49.3548387096774
"26",2021,2,21.905730406746,17.2917857142857,27.6885714285714,7.83317359018443,130.285714285714
"27",2021,3,20.3944489247312,15.6461290322581,26.1764516129032,4.73840201665843,346.064516129032
